Appid,name,header_image,,developer,,,,categories,genres,steamspy_tags,,positive_ratings,negative_ratings,,median_playtime,,price
204360,Castle Crashers®,https://steamcdn-a.akamaihd.net/steam/apps/204360/header.jpg?t=1530126130,,The Behemoth,,,,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Casual;Indie;RPG,Co-op;Action;Adventure,,50273,2063,,306,,9.99
365590,Tom Clancy’s The Division™,https://steamcdn-a.akamaihd.net/steam/apps/365590/header.jpg?t=1544019613,,Massive Entertainment,,,,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases,Action;Adventure;RPG,Open World;Multiplayer;Third-Person Shooter,,49832,25607,,1952,,41.99
220200,Kerbal Space Program,https://steamcdn-a.akamaihd.net/steam/apps/220200/header.jpg?t=1548442822,,Squad,,,,Single-player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud,Indie;Simulation,Space;Simulation;Sandbox,,49328,5168,,351,,29.99
391220,Rise of the Tomb Raider™,https://steamcdn-a.akamaihd.net/steam/apps/391220/header.jpg?t=1556055281,,Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux);Nixxes software,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure,Adventure;Action;Lara Croft,,49004,3838,,656,,39.99
224260,No More Room in Hell,https://steamcdn-a.akamaihd.net/steam/apps/224260/header.jpg?t=1536391985,,No More Room in Hell Team,,,,Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Captions available;VR Support;Partial Controller Support;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK,Action;Free to Play;Indie,Free to Play;Zombies;Survival,,48190,5747,,180,,0
427520,Factorio,https://steamcdn-a.akamaihd.net/steam/apps/427520/header.jpg?t=1530541487,,Wube Software LTD.,,,,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Includes level editor,Casual;Indie;Simulation;Strategy;Early Access,Early Access;Base-Building;Resource Management,,47918,723,,6880,,21
304050,Trove,https://steamcdn-a.akamaihd.net/steam/apps/304050/header.jpg?t=1545363368,,Trion Worlds,,,,Online Multi-Player;MMO;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases,Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,Free to Play;Open World;Multiplayer,,47897,13708,,184,,0
489830,The Elder Scrolls V: Skyrim Special Edition,https://steamcdn-a.akamaihd.net/steam/apps/489830/header.jpg?t=1533676854,,Bethesda Game Studios,,,,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,RPG,Open World;RPG;Adventure,,47749,14719,,821,,29.99
238460,BattleBlock Theater®,https://steamcdn-a.akamaihd.net/steam/apps/238460/header.jpg?t=1530126126,,The Behemoth,,,,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Adventure;Casual;Indie,Comedy;Co-op;Platformer,,47342,1290,,289,,10.99
282070,This War of Mine,https://steamcdn-a.akamaihd.net/steam/apps/282070/header.jpg?t=1555064576,,11 bit studios,,,,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,Adventure;Indie;Simulation,Survival;War;Atmospheric,,47258,2571,,347,,14.99
